Total Monthly Ridership,,,,,,
Month,FY18,FY19,FY20,FY21,FY22,FY23 (DRAFT)
Jul,-,"63,864","62,851","9,427","24,627","43,752"
Aug,"54,484","74,384","65,352","8,703","25,020","48,278"
Sep,"65,019","62,314","62,974","8,910","27,967","49,134"
Oct,"57,453","65,492","57,222","9,851","26,998","59,322"
Nov,"56,125","52,774","64,966","8,145","26,575","51,383"
Dec,"56,425","51,670","58,199","7,414","24,050","47,606"
Jan,"56,527","57,136","71,974","6,728","22,710",
Feb,"54,797","51,130","71,676","7,412","26,652",
Mar,"57,312","58,091","33,624","9,933","35,291",
Apr,"56,631","60,256","4,571","11,908","34,258",
May,"59,428","64,036","5,308","13,949","38,655",
Jun,"61,828","55,700","8,386","20,469","41,525",
TOTAL     ,"636,029","716,847","567,103","122,849","354,328","299,475"